duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
9.9536,0.05398,-0.06752,0.4469,-0.15758,0.019908,-0.00065147,-5.1248e-05,3.1603e-06,0.20253,0.08783,-0.16781,0.064887,-0.0091334,0.00040107,1.3945e-05,-1.1544e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.003,0.76796,-0.037412,-0.0096932,0.0021393,-7.4319e-05,-2.9296e-05,3.6432e-06,-1.2658e-07,0.36202,0.018448,0.010242,-0.0029915,0.00029962,3.3007e-07,-1.8355e-06,8.2144e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9965,0.2686,-0.049999,5.3319e-05,-1.1539e-05,2.0511e-06,1.5911e-08,-1.843e-09,-1.9509e-10,0.59409,0.013192,-0.0015378,6.9096e-05,-1.331e-05,1.2962e-06,-6.7948e-08,1.5834e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.001,-0.21912,-0.04557,0.00033187,0.00014219,-3.0654e-05,4.1334e-06,-2.7941e-07,7.4462e-09,0.58577,-0.0149,-0.0014942,6.4514e-05,-1.4919e-05,2.1594e-06,-1.4966e-07,4.052e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.003,-0.59763,-0.027756,0.0011685,3.5754e-05,-4.3252e-06,4.0443e-07,-1.987e-08,3.5328e-10,0.30941,-0.038467,-0.0010694,0.00012474,-2.4223e-05,3.1065e-06,-1.9874e-07,5.0732e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.002,-0.74174,-8.856e-05,0.0013683,5.7848e-05,-1.4225e-05,1.5066e-06,-7.3944e-08,1.2228e-09,-0.13721,-0.048047,0.00029819,-0.0001609,5.0096e-05,-6.2505e-06,3.7256e-07,-8.5545e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9923,-0.6012,0.02732,0.0010942,6.6296e-05,-2.9637e-05,4.6834e-06,-3.5074e-07,1.0014e-08,-0.58591,-0.038889,0.0009497,-4.9914e-05,2.6817e-05,-4.4449e-06,3.397e-07,-9.8807e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.003,-0.23127,0.044353,0.0002162,0.00011988,-4.6059e-05,7.2224e-06,-5.5035e-07,1.6156e-08,-0.86505,-0.015138,0.0014883,-2.4414e-05,8.1504e-06,-1.1978e-06,8.6492e-08,-2.5078e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.005,0.22675,0.044164,-0.00030619,-7.5318e-05,5.3898e-06,8.5198e-08,-5.0381e-08,2.3514e-09,-0.86882,0.014348,0.00149,-3.4603e-05,3.5129e-06,-1.8925e-07,-7.1269e-09,6.1949e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9904,0.59814,0.027393,-0.0011534,-3.0658e-05,3.0446e-06,-2.8584e-07,1.5962e-08,-3.603e-10,-0.59546,0.038382,0.00090031,-1.0281e-05,-1.0465e-05,2.2633e-06,-2.1179e-07,7.2004e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
