duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
9.9536,-0.53028,0.73238,0.095608,-0.17392,0.049266,-0.0062097,0.00037604,-8.9711e-06,-0.48385,-0.3048,0.083645,-0.0011963,0.00039233,-0.00048457,6.533e-05,-2.4951e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.003,0.46611,-0.043813,-0.0067898,0.0084096,-0.0024733,0.00032731,-2.0766e-05,5.152e-07,-0.53229,0.045136,-0.0024184,-0.003979,0.0016093,-0.0002496,1.7614e-05,-4.7377e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9965,0.14252,-0.036997,-0.0022099,0.00076465,-0.0001897,2.701e-05,-1.9569e-06,5.6271e-08,-0.29303,0.013592,-0.00098202,-4.3939e-05,-9.9187e-06,2.6159e-06,-2.229e-07,6.8166e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.001,-0.27389,-0.041189,0.00020717,0.00021702,-6.3803e-05,1.0288e-05,-7.9515e-07,2.3629e-08,-0.29154,-0.014387,-0.0014058,4.0646e-05,-1.4819e-05,2.9075e-06,-2.4788e-07,7.8694e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.003,-0.61624,-0.024753,0.0011062,7.4213e-05,-1.8615e-05,2.7384e-06,-1.977e-07,5.5218e-09,-0.56203,-0.03795,-0.0010649,0.00018362,-5.1209e-05,7.9903e-06,-5.973e-07,1.7296e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.002,-0.73372,0.0023319,0.0010758,0.00024425,-7.613e-05,1.1353e-05,-8.194e-07,2.285e-08,-1.0021,-0.04736,0.0004324,-0.00033548,0.00012552,-2.022e-05,1.5402e-06,-4.4918e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9923,-0.57536,0.027977,0.0017563,-0.00029476,5.3592e-05,-5.0219e-06,2.0487e-07,-2.3963e-09,-1.4439,-0.037746,0.00021732,0.00033658,-7.0746e-05,8.1023e-06,-4.5972e-07,1.0188e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.003,-0.20031,0.043186,0.0010788,-0.00027467,3.6089e-05,-1.2647e-06,-1.5333e-07,1.026e-08,-1.718,-0.014513,0.0011277,0.00012048,-2.462e-05,2.8897e-06,-1.774e-07,4.3512e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.005,0.24864,0.042091,0.00056676,-0.00061418,0.00015159,-2.0073e-05,1.325e-06,-3.4556e-08,-1.7209,0.014066,0.0016608,-0.00015301,3.7207e-05,-4.9161e-06,3.1256e-07,-7.7131e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9904,0.60024,0.025015,-0.0010295,-0.00010542,2.3016e-05,-2.9954e-06,1.9993e-07,-5.3093e-09,-1.4511,0.037395,0.0016246,-0.00044828,0.00011331,-1.5546e-05,1.0502e-06,-2.7744e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
