duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
9.9519,0.44525,0.092088,0.43848,-0.21277,0.043758,-0.0046702,0.00025655,-5.7958e-06,-0.067376,0.031333,-0.12767,0.085782,-0.021397,0.002608,-0.00015831,3.8627e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.004,1.6079,-0.023819,-0.0063889,0.0017412,-0.00029623,2.8824e-05,-1.4906e-06,3.1772e-08,0.39324,0.035004,0.0039247,-0.0026037,0.00056369,-6.0302e-05,3.1446e-06,-6.3627e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.001,1.2192,-0.045751,0.00077582,-0.00055858,0.00014219,-1.8022e-05,1.1488e-06,-2.9078e-08,0.64704,0.013135,-0.001662,0.00012533,-3.0844e-05,3.9771e-06,-2.6181e-07,6.9886e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.001,0.75836,-0.044331,0.00031034,0.00014899,-3.8974e-05,6.0516e-06,-4.5709e-07,1.3409e-08,0.63483,-0.015191,-0.0014926,0.0001142,-3.1391e-05,4.7973e-06,-3.5534e-07,1.032e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9945,0.38745,-0.027396,0.001217,1.5377e-05,-1.9523e-06,4.0847e-07,-3.665e-08,1.1322e-09,0.36151,-0.037735,-0.00070667,-1.7344e-05,1.0173e-05,-1.4976e-06,1.259e-07,-4.3082e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.007,0.24655,9.6333e-05,0.0014233,2.5314e-05,-6.2699e-06,5.6039e-07,-1.9541e-08,-5.9083e-14,-0.068793,-0.045754,9.5519e-05,-9.2643e-06,1.1566e-05,-1.4041e-06,6.4897e-08,-6.2913e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9944,0.38909,0.027814,0.00071968,0.00025127,-7.7277e-05,1.1249e-05,-8.0863e-07,2.2648e-08,-0.4924,-0.036455,0.0012007,-0.00015512,4.9236e-05,-7.1313e-06,5.0851e-07,-1.4198e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9994,0.7602,0.044454,0.00029195,7.6165e-05,-3.2142e-05,4.7169e-06,-3.2895e-07,8.7396e-09,-0.74617,-0.012848,0.0013238,3.2832e-05,-5.1552e-06,3.8868e-07,-8.2472e-09,-2.8516e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9992,1.2188,0.044233,-0.00038308,-6.1136e-05,7.7314e-06,-9.519e-07,6.2291e-08,-1.6375e-09,-0.73322,0.015353,0.0013872,-3.1018e-05,5.2166e-06,-7.7892e-07,5.4479e-08,-1.5021e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9986,1.5897,0.027478,-0.0013113,3.6254e-05,-9.6508e-06,9.5774e-07,-4.7637e-08,1.0291e-09,-0.4583,0.037876,0.00064259,3.302e-05,-9.7053e-06,1.0786e-06,-8.7203e-08,3.2108e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
