duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
9.9598,-0.46214,-0.086517,0.3298,-0.095744,0.0018879,0.0022068,-0.00027426,9.8543e-06,-0.054161,0.12642,-0.19092,0.071245,-0.0065653,-0.00068736,0.00013957,-5.841e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9964,-0.27262,-0.033023,-0.013109,0.0086832,-0.0022151,0.00027361,-1.6623e-05,4.0022e-07,0.15875,0.041428,0.015435,-0.01014,0.002429,-0.00028875,1.706e-05,-4.0144e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.001,-0.64185,-0.043507,-0.00044156,-5.3601e-05,2.4769e-05,-2.8454e-06,1.3562e-07,-1.8855e-09,0.43755,0.013322,-0.001614,0.00013989,-4.164e-05,5.4537e-06,-3.4031e-07,8.3206e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9986,-1.0948,-0.043891,0.00084283,-0.00017979,5.6661e-05,-8.0696e-06,5.724e-07,-1.6048e-08,0.4211,-0.016904,-0.001355,-7.6164e-05,2.8155e-05,-4.3238e-06,3.2711e-07,-9.6095e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.005,-1.4576,-0.026688,0.0013854,-7.8093e-05,2.1999e-05,-2.7499e-06,1.6848e-07,-4.0587e-09,0.12067,-0.04157,-0.00067435,6.2546e-06,-1.5722e-05,4.498e-06,-4.295e-07,1.4099e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9903,-1.5911,0.00075627,0.0015297,-0.00012007,4.4687e-05,-7.383e-06,5.5717e-07,-1.5965e-08,-0.35242,-0.050467,0.00020013,0.00010153,-4.8432e-05,9.3764e-06,-7.6759e-07,2.3095e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.008,-1.4448,0.027871,0.00083115,0.00014079,-4.1271e-05,5.5262e-06,-3.6921e-07,9.602e-09,-0.8185,-0.040327,0.0012192,-9.5601e-05,2.9352e-05,-3.8588e-06,2.4904e-07,-6.2473e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9939,-1.0753,0.044324,-0.00021815,0.00025017,-5.2872e-05,4.4195e-06,-1.1869e-07,-1.5225e-09,-1.1014,-0.014639,0.0015667,1.6154e-05,-1.347e-05,3.2141e-06,-3.0672e-07,1.0335e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.005,-0.62455,0.043592,-0.00051956,-7.0216e-05,2.4227e-05,-4.6278e-06,3.9113e-07,-1.2299e-08,-1.0917,0.016634,0.0013794,1.3946e-05,5.4257e-07,-1.0215e-06,1.2456e-07,-4.751e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.993,-0.26302,0.026382,-0.0010139,-9.6638e-05,2.008e-05,-2.5881e-06,1.7374e-07,-4.6894e-09,-0.79294,0.04091,0.0013183,-0.0002324,4.9487e-05,-6.4409e-06,4.2362e-07,-1.1065e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
