duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
9.9598,-0.49319,0.23205,0.68035,-0.44162,0.10315,-0.011321,0.00058402,-1.1171e-05,-0.5049,-0.045794,-0.36182,0.24749,-0.061835,0.0071729,-0.00038535,7.5432e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9964,-0.085128,-0.074396,-0.002922,0.01156,-0.0037519,0.00052294,-3.4568e-05,8.9025e-07,-0.59622,0.071767,-0.017797,-5.3272e-05,0.0012006,-0.00024653,1.9807e-05,-5.7886e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.001,-0.45159,-0.038273,-0.00053697,-0.00012561,6.9162e-05,-1.1337e-05,8.3165e-07,-2.2929e-08,-0.33929,0.012572,-0.00072103,-0.00020452,2.6285e-05,-1.7766e-06,6.4845e-08,-1.1667e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9986,-0.85354,-0.038088,0.00057535,-0.00014775,6.8137e-05,-1.185e-05,9.6234e-07,-2.9819e-08,-0.35186,-0.015796,-0.0015373,9.1388e-06,1.5377e-05,-3.8603e-06,3.8146e-07,-1.3389e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.005,-1.164,-0.021812,0.0016759,-0.00026331,6.5837e-05,-7.9602e-06,4.7114e-07,-1.0892e-08,-0.63896,-0.040265,0.00039051,-0.00061994,0.00015057,-1.7573e-05,1.0111e-06,-2.2912e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9903,-1.2533,0.0046529,0.00092577,0.00015821,-2.582e-05,1.8043e-06,-5.0039e-08,2.2424e-10,-1.0922,-0.048984,0.0016657,-0.00078372,0.00018291,-2.1087e-05,1.2271e-06,-2.8805e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.008,-1.0819,0.029434,9.974e-05,0.00050938,-0.00015096,2.2306e-05,-1.6371e-06,4.6997e-08,-1.5394,-0.038896,0.0015012,-0.00032143,9.7575e-05,-1.4405e-05,1.0553e-06,-3.0358e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9939,-0.71432,0.044555,-0.0030933,0.0018468,-0.00049268,6.6499e-05,-4.4648e-06,1.1815e-07,-1.8127,-0.014626,0.001884,-0.00023298,6.0232e-05,-7.6488e-06,4.7343e-07,-1.1469e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.005,-0.29163,0.040996,-0.0021047,0.0006297,-0.0001363,1.4841e-05,-8.0153e-07,1.6789e-08,-1.8075,0.015937,0.00076899,0.00030875,-7.3724e-05,8.6878e-06,-5.0788e-07,1.1458e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.993,0.025161,0.021656,-0.00087099,-0.00018802,4.6237e-05,-6.1867e-06,4.2036e-07,-1.1413e-08,-1.524,0.039402,0.001298,-0.00031685,8.4156e-05,-1.2276e-05,8.8118e-07,-2.4781e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
