duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
9.9598,-0.18795,-0.10504,0.44124,-0.16827,0.02508,-0.0015302,1.529e-05,1.2586e-06,0.13626,0.036757,-0.066886,0.02591,-0.0020232,-0.00023943,3.9756e-05,-1.4595e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9964,0.25931,-0.019973,-0.0079787,0.0020952,-0.0002827,1.6544e-05,-1.6856e-07,-1.2706e-08,0.70915,0.040042,0.0093949,-0.0042955,0.00071894,-5.6478e-05,1.8243e-06,-9.857e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.001,-0.11109,-0.044086,-0.00047713,1.0967e-05,1.1357e-06,5.0468e-07,-7.7424e-08,3.134e-09,1.0206,0.015667,-0.0017157,0.00010156,-2.2059e-05,2.3874e-06,-1.2881e-07,2.8113e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9986,-0.57298,-0.045324,0.00060022,-5.7671e-05,2.1569e-05,-2.8534e-06,1.8775e-07,-4.9022e-09,1.0247,-0.014751,-0.0013466,-5.1112e-05,1.6663e-05,-2.2061e-06,1.4838e-07,-3.9244e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.005,-0.95475,-0.028702,0.0011522,4.7756e-05,-1.0143e-05,1.4685e-06,-1.0479e-07,2.8797e-09,0.74664,-0.039064,-0.0011187,0.0001962,-5.3654e-05,8.0839e-06,-5.7755e-07,1.5854e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9903,-1.1094,-0.0012314,0.001554,-6.1962e-05,1.9043e-05,-2.8603e-06,2.007e-07,-5.458e-09,0.2929,-0.048565,-0.00025542,0.00024339,-6.4956e-05,9.2751e-06,-6.3368e-07,1.6789e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.008,-0.97797,0.026727,0.0011676,-4.826e-07,-3.4312e-06,1.9109e-07,6.2907e-09,-7.6187e-10,-0.16238,-0.039593,0.0009171,2.3509e-05,-1.0633e-06,2.7759e-07,-3.3739e-08,1.3685e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9939,-0.61061,0.044303,0.00058419,-0.00013347,4.0935e-05,-7.2275e-06,5.9137e-07,-1.8345e-08,-0.44615,-0.015297,0.0014367,3.0289e-05,-9.3671e-06,1.6095e-06,-1.3051e-07,3.9351e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.005,-0.14833,0.044996,-0.00021097,-0.00015805,3.6401e-05,-5.1587e-06,3.6294e-07,-1.0032e-08,-0.44914,0.014675,0.0015741,-8.7301e-05,2.2349e-05,-3.3595e-06,2.4343e-07,-6.9094e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.993,0.23341,0.028584,-0.0011214,-3.6238e-05,3.8663e-06,-4.1659e-07,2.7455e-08,-7.4093e-10,-0.1702,0.038993,0.0010425,-7.5299e-05,9.5048e-06,-1.0948e-06,6.3652e-08,-1.4374e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
