duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
9.9598,0.10432,-0.12977,0.48577,-0.19857,0.036942,-0.003685,0.00019281,-4.1743e-06,0.48456,0.14517,-0.059619,0.0014618,0.0043559,-0.00080419,5.0662e-05,-9.8917e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9964,0.7882,-0.016311,-0.0017508,-0.0024515,0.0008774,-0.00012679,8.5598e-06,-2.2357e-07,1.3371,0.025116,0.010097,-0.001864,-0.000142,6.827e-05,-6.6302e-06,2.1176e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.001,0.41815,-0.044647,-0.00046462,3.549e-05,-7.1192e-06,1.4881e-06,-1.252e-07,3.7934e-09,1.628,0.015554,-0.0016765,5.1269e-05,-3.74e-06,-3.7039e-07,6.5097e-08,-2.4584e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9986,-0.048946,-0.045966,0.00039246,3.7515e-05,-3.9355e-06,7.3145e-07,-6.5275e-08,2.1708e-09,1.6332,-0.014219,-0.0013929,5.892e-07,1.1503e-06,1.317e-07,-2.5127e-08,1.1065e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.005,-0.4416,-0.029993,0.0010129,9.9633e-05,-2.0582e-05,2.5176e-06,-1.5304e-07,3.6117e-09,1.363,-0.037897,-0.0012493,0.0002331,-5.3464e-05,6.8516e-06,-4.23e-07,1.0073e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9903,-0.61159,-0.0028093,0.0014939,-9.785e-06,2.5059e-06,-3.3426e-07,1.676e-08,-2.9449e-10,0.92015,-0.047301,-0.00040676,0.00025597,-5.3915e-05,6.217e-06,-3.4304e-07,7.2129e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.008,-0.49487,0.025394,0.0013019,-5.0278e-05,9.4172e-06,-1.5459e-06,1.2348e-07,-3.8525e-09,0.47445,-0.038712,0.00079067,6.693e-05,-1.1089e-05,1.5298e-06,-1.1307e-07,3.3477e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9939,-0.13612,0.043714,0.00085593,-0.00023735,6.2261e-05,-9.2315e-06,6.6485e-07,-1.8632e-08,0.1957,-0.015108,0.0014137,1.871e-05,-4.0045e-06,5.6248e-07,-3.9712e-08,1.0355e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.005,0.327,0.04553,-0.00018297,-0.0001196,2.0829e-05,-2.4386e-06,1.4229e-07,-3.2377e-09,0.19147,0.014175,0.0015617,-7.7939e-05,1.5918e-05,-1.9978e-06,1.2059e-07,-2.8448e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.993,0.71889,0.030038,-0.0011956,1.2702e-05,-8.007e-06,1.0774e-06,-6.887e-08,1.7684e-09,0.46317,0.038195,0.00082066,2.4086e-05,-1.3958e-05,1.8697e-06,-1.2728e-07,3.4897e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
