duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
9.9598,-0.30675,0.17832,0.23035,-0.075951,0.002593,0.0014809,-0.00019084,6.8788e-06,-0.44972,0.049138,-0.10953,0.058173,-0.011149,0.00086361,-1.6621e-05,-5.6158e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9964,0.51493,-0.019027,-0.013174,0.0044934,-0.0007636,6.5705e-05,-2.6861e-06,3.8654e-08,-0.093892,0.053537,0.0022575,-0.0032733,0.00085239,-0.00010487,6.3041e-06,-1.4972e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.001,0.13585,-0.0441,-0.00036617,3.4847e-06,3.1439e-06,2.9863e-07,-7.3898e-08,3.4285e-09,0.23734,0.017232,-0.0015994,5.8652e-05,-1.7854e-05,2.4844e-06,-1.6615e-07,4.395e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9986,-0.31665,-0.043594,0.00079179,-0.00014157,4.6178e-05,-6.5885e-06,4.669e-07,-1.3056e-08,0.25606,-0.013417,-0.0013049,-8.0551e-05,2.7056e-05,-3.9556e-06,2.8915e-07,-8.2756e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.005,-0.67565,-0.026195,0.0012969,-4.6612e-06,-1.8801e-06,9.6723e-07,-1.076e-07,3.8128e-09,-0.0076873,-0.037757,-0.00078096,3.3774e-05,-1.6743e-05,3.8312e-06,-3.3701e-07,1.0543e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9903,-0.80413,0.0012258,0.0015031,-4.4293e-05,1.2617e-05,-1.8128e-06,1.19e-07,-3.0052e-09,-0.44572,-0.047234,0.00010752,5.5535e-05,-2.3582e-05,4.7032e-06,-3.8638e-07,1.158e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.008,-0.6523,0.028313,0.00097463,7.3029e-05,-2.4515e-05,3.2893e-06,-2.1894e-07,5.6395e-09,-0.88749,-0.038617,0.0010071,-4.9247e-05,1.8682e-05,-2.5798e-06,1.7483e-07,-4.654e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9939,-0.27715,0.044651,2.8307e-05,0.00012036,-2.3472e-05,1.1603e-06,4.932e-08,-4.5802e-09,-1.1652,-0.01525,0.0014716,-3.0699e-05,9.4615e-06,-1.2509e-06,8.0411e-08,-2.1122e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.005,0.17717,0.043658,-0.00048645,-8.7607e-05,2.5981e-05,-4.5692e-06,3.6977e-07,-1.1306e-08,-1.1725,0.013838,0.001438,-5.404e-05,1.7533e-05,-3.1325e-06,2.5442e-07,-7.8751e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.993,0.53724,0.025884,-0.0010221,-9.7476e-05,1.9135e-05,-2.3735e-06,1.5602e-07,-4.1481e-09,-0.90638,0.037407,0.0011758,-0.00015911,3.2233e-05,-4.2243e-06,2.7954e-07,-7.341e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
