1.05,0,-0,0,-0,0.83044,-0.27614,-0.38422,0.18049,-0,0,-0,0,-1.3561,0.68843,0.58743,-0.32911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.71,0.39606,0.91803,0.12896,-0.77355,0.3397,0.03431,-0.026417,-0.030049,-0.4456,-0.6844,0.88843,1.4936,-1.3616,-0.13932,0.15887,0.095799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.62,0.92241,0.40571,-0.58297,-0.092188,-0.11467,0.10105,0.075834,-0.037926,-0.29117,0.96751,0.42145,-1.0863,0.54521,0.030109,-0.050046,-0.068177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,0.92317,-0.43153,-0.68297,0.17717,0.31947,-0.043852,-0.11127,0.023166,0.28987,0.72472,-0.51201,-0.20962,-0.21871,0.1088,0.12876,-0.055461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.56,0.40536,-0.83472,0.15894,0.28818,-0.37374,-0.054995,0.03609,0.078627,0.45074,-0.38553,-0.95409,0.12829,0.44262,0.05563,-0.060142,-0.076163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.56,0.001062,-0.64627,-0.01256,-0.32406,0.12533,0.11974,0.034567,-0.06313,0.001593,-1.0315,0.015159,0.82082,-0.15266,-0.13073,-0.045679,0.080444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,-0.4028,-0.82051,-0.13291,0.23628,0.23516,-0.053551,-0.088687,0.031253,-0.44935,-0.41151,0.90295,0.18533,-0.23913,-0.041696,0.016857,0.016709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.62,-0.92164,-0.4646,0.66187,0.28658,-0.22892,-0.051987,0.004669,0.038463,-0.29246,0.77768,0.56579,-0.43247,-0.060568,-0.082048,-0.009439,0.041158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.71,-0.92393,0.44783,0.62738,-0.25981,-0.042325,-0.032258,0.00142,0.005294,0.28857,0.87335,-0.51559,-0.73021,-0.026023,0.28875,0.21568,-0.14806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0532,-0.39861,0.85051,-0.14401,-0.48537,-0.079781,0.17633,0.23448,-0.15357,0.44704,-0.53273,-0.85502,0.87851,0.77517,-0.39105,-0.71352,0.39163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
